,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr,fold,seed
5,0.25163882970809937,0.8888277411460876,0.9627566337585449,0.31187668442726135,0.9230769276618958,0.9704142212867737,0.009999999776482582,1,0
6,0.21843521296977997,0.9069895148277283,0.9721824526786804,0.5017656683921814,0.9230769276618958,0.9112425446510315,0.009999999776482582,1,0
7,0.181483194231987,0.9334067106246948,0.9813085198402405,0.6147412657737732,0.9230769276618958,0.899408221244812,0.009999999776482582,1,0
8,0.20303292572498322,0.9287286996841431,0.9768819212913513,0.5559108257293701,0.9230769276618958,0.899408221244812,0.009999999776482582,1,0
9,0.1656648963689804,0.9405613541603088,0.984578549861908,0.7004646062850952,0.8461538553237915,0.9053253531455994,0.009999999776482582,1,0
10,0.16804620623588562,0.9380847811698914,0.9841471910476685,0.2434244453907013,0.9230769276618958,0.9704142212867737,0.00699999975040555,1,0
11,0.12185690551996231,0.9570720791816711,0.9916730523109436,0.20681636035442352,0.9230769276618958,0.9822485446929932,0.00699999975040555,1,0
0,0.6830772757530212,0.5690699219703674,0.5918236970901489,0.5380052328109741,0.8461538553237915,0.976331353187561,0.009999999776482582,2,0
1,0.6067694425582886,0.6717116236686707,0.7326308488845825,0.2922773063182831,1.0,1.0,0.009999999776482582,2,0
2,0.4940946400165558,0.753164529800415,0.8395541906356812,0.22796078026294708,0.8461538553237915,0.976331353187561,0.009999999776482582,2,0
3,0.4343859553337097,0.7966428399085999,0.8816764950752258,0.1310015767812729,0.9230769276618958,0.9940828084945679,0.009999999776482582,2,0
4,0.4018593728542328,0.8175564408302307,0.899600625038147,0.21759387850761414,0.8461538553237915,0.976331353187561,0.009999999776482582,2,0
5,0.37171730399131775,0.8296642899513245,0.9142416715621948,0.16032253205776215,0.9230769276618958,0.9822484254837036,0.009999999776482582,2,0
6,0.38106483221054077,0.826637327671051,0.9107062816619873,0.22944748401641846,0.8461538553237915,0.976331353187561,0.009999999776482582,2,0
7,0.35832470655441284,0.8428728580474854,0.9221130013465881,0.16449759900569916,1.0,0.9999999403953552,0.009999999776482582,2,0
8,0.34571343660354614,0.8547055721282959,0.9286157488822937,0.1268865168094635,0.9230769276618958,0.9940828084945679,0.009999999776482582,2,0
9,0.32133057713508606,0.863236129283905,0.938737154006958,0.24931073188781738,0.8461538553237915,0.9526627063751221,0.009999999776482582,2,0
10,0.3224116265773773,0.861309826374054,0.9378547668457031,0.14806663990020752,1.0,1.0,0.009999999776482582,2,0
11,0.2925058603286743,0.8772702217102051,0.9491704702377319,0.2610887289047241,0.9230769276618958,0.9585798978805542,0.009999999776482582,2,0
12,0.27690744400024414,0.8855255842208862,0.9554148316383362,0.09565062075853348,1.0,1.0,0.009999999776482582,2,0
13,0.2567332983016968,0.8937809467315674,0.9618239402770996,0.08659707754850388,1.0,1.0,0.009999999776482582,2,0
14,0.2358488291501999,0.9039625525474548,0.9688041806221008,0.12239862233400345,1.0,1.0,0.009999999776482582,2,0
15,0.22823631763458252,0.9058888554573059,0.970300018787384,0.14053994417190552,0.9230769276618958,0.9940828680992126,0.009999999776482582,2,0
16,0.21332553029060364,0.912217915058136,0.9743938446044922,0.07072063535451889,1.0,1.0,0.009999999776482582,2,0
17,0.2229468822479248,0.9111172556877136,0.9722379446029663,0.05935843288898468,1.0,1.0,0.009999999776482582,2,0
18,0.21816818416118622,0.9108420610427856,0.9729092717170715,0.03766203671693802,1.0,1.0,0.009999999776482582,2,0
19,0.212824285030365,0.9177215099334717,0.9749361276626587,0.16680572926998138,1.0,1.0,0.009999999776482582,2,0
